,match_id,batting_team,bowling_team,ball,runs,player_dismissed,city,venue
0,1,Australia,Sri Lanka,0.1,0,0,,Melbourne Cricket Ground
1,1,Australia,Sri Lanka,0.2,0,0,,Melbourne Cricket Ground
2,1,Australia,Sri Lanka,0.3,1,0,,Melbourne Cricket Ground
3,1,Australia,Sri Lanka,0.4,2,0,,Melbourne Cricket Ground
4,1,Australia,Sri Lanka,0.5,0,0,,Melbourne Cricket Ground
5,1,Australia,Sri Lanka,0.6,3,0,,Melbourne Cricket Ground
6,1,Australia,Sri Lanka,1.1,0,0,,Melbourne Cricket Ground
7,1,Australia,Sri Lanka,1.2,1,0,,Melbourne Cricket Ground
8,1,Australia,Sri Lanka,1.3,0,0,,Melbourne Cricket Ground
9,1,Australia,Sri Lanka,1.4,0,0,,Melbourne Cricket Ground
10,1,Australia,Sri Lanka,1.5,4,0,,Melbourne Cricket Ground
11,1,Australia,Sri Lanka,1.6,2,0,,Melbourne Cricket Ground
12,1,Australia,Sri Lanka,2.1,1,0,,Melbourne Cricket Ground
13,1,Australia,Sri Lanka,2.2,1,0,,Melbourne Cricket Ground
14,1,Australia,Sri Lanka,2.3,0,0,,Melbourne Cricket Ground
15,1,Australia,Sri Lanka,2.4,0,0,,Melbourne Cricket Ground
16,1,Australia,Sri Lanka,2.5,4,0,,Melbourne Cricket Ground
17,1,Australia,Sri Lanka,2.6,0,0,,Melbourne Cricket Ground
18,1,Australia,Sri Lanka,3.1,0,0,,Melbourne Cricket Ground
19,1,Australia,Sri Lanka,3.2,1,0,,Melbourne Cricket Ground
20,1,Australia,Sri Lanka,3.3,1,0,,Melbourne Cricket Ground
21,1,Australia,Sri Lanka,3.4,1,0,,Melbourne Cricket Ground
22,1,Australia,Sri Lanka,3.5,4,0,,Melbourne Cricket Ground
23,1,Australia,Sri Lanka,3.6,1,0,,Melbourne Cricket Ground
24,1,Australia,Sri Lanka,4.1,3,0,,Melbourne Cricket Ground
25,1,Australia,Sri Lanka,4.2,3,0,,Melbourne Cricket Ground
26,1,Australia,Sri Lanka,4.3,4,0,,Melbourne Cricket Ground
27,1,Australia,Sri Lanka,4.4,4,0,,Melbourne Cricket Ground
28,1,Australia,Sri Lanka,4.5,1,0,,Melbourne Cricket Ground
29,1,Australia,Sri Lanka,4.6,1,0,,Melbourne Cricket Ground
30,1,Australia,Sri Lanka,5.1,1,0,,Melbourne Cricket Ground
31,1,Australia,Sri Lanka,5.2,1,0,,Melbourne Cricket Ground
32,1,Australia,Sri Lanka,5.3,0,0,,Melbourne Cricket Ground
33,1,Australia,Sri Lanka,5.4,0,0,,Melbourne Cricket Ground
34,1,Australia,Sri Lanka,5.5,1,0,,Melbourne Cricket Ground
35,1,Australia,Sri Lanka,5.6,1,0,,Melbourne Cricket Ground
36,1,Australia,Sri Lanka,5.7,0,0,,Melbourne Cricket Ground
37,1,Australia,Sri Lanka,6.1,1,0,,Melbourne Cricket Ground
38,1,Australia,Sri Lanka,6.2,1,0,,Melbourne Cricket Ground
39,1,Australia,Sri Lanka,6.3,0,0,,Melbourne Cricket Ground
40,1,Australia,Sri Lanka,6.4,1,0,,Melbourne Cricket Ground
41,1,Australia,Sri Lanka,6.5,1,0,,Melbourne Cricket Ground
42,1,Australia,Sri Lanka,6.6,2,0,,Melbourne Cricket Ground
43,1,Australia,Sri Lanka,7.1,0,0,,Melbourne Cricket Ground
44,1,Australia,Sri Lanka,7.2,1,0,,Melbourne Cricket Ground
45,1,Australia,Sri Lanka,7.3,1,0,,Melbourne Cricket Ground
46,1,Australia,Sri Lanka,7.4,1,0,,Melbourne Cricket Ground
47,1,Australia,Sri Lanka,7.5,4,0,,Melbourne Cricket Ground
48,1,Australia,Sri Lanka,7.6,1,0,,Melbourne Cricket Ground
49,1,Australia,Sri Lanka,8.1,1,0,,Melbourne Cricket Ground
50,1,Australia,Sri Lanka,8.2,3,0,,Melbourne Cricket Ground
51,1,Australia,Sri Lanka,8.3,1,0,,Melbourne Cricket Ground
52,1,Australia,Sri Lanka,8.4,0,0,,Melbourne Cricket Ground
53,1,Australia,Sri Lanka,8.5,0,0,,Melbourne Cricket Ground
54,1,Australia,Sri Lanka,8.6,1,0,,Melbourne Cricket Ground
55,1,Australia,Sri Lanka,9.1,1,0,,Melbourne Cricket Ground
56,1,Australia,Sri Lanka,9.2,0,0,,Melbourne Cricket Ground
57,1,Australia,Sri Lanka,9.3,0,0,,Melbourne Cricket Ground
58,1,Australia,Sri Lanka,9.4,0,0,,Melbourne Cricket Ground
59,1,Australia,Sri Lanka,9.5,6,0,,Melbourne Cricket Ground
60,1,Australia,Sri Lanka,9.6,1,0,,Melbourne Cricket Ground
61,1,Australia,Sri Lanka,10.1,0,0,,Melbourne Cricket Ground
62,1,Australia,Sri Lanka,10.2,1,0,,Melbourne Cricket Ground
63,1,Australia,Sri Lanka,10.3,0,M Klinger,,Melbourne Cricket Ground
64,1,Australia,Sri Lanka,10.4,2,0,,Melbourne Cricket Ground
65,1,Australia,Sri Lanka,10.5,0,0,,Melbourne Cricket Ground
66,1,Australia,Sri Lanka,10.6,0,0,,Melbourne Cricket Ground
67,1,Australia,Sri Lanka,11.1,6,0,,Melbourne Cricket Ground
68,1,Australia,Sri Lanka,11.2,2,0,,Melbourne Cricket Ground
69,1,Australia,Sri Lanka,11.3,0,AJ Finch,,Melbourne Cricket Ground
70,1,Australia,Sri Lanka,11.4,1,0,,Melbourne Cricket Ground
71,1,Australia,Sri Lanka,11.5,1,0,,Melbourne Cricket Ground
72,1,Australia,Sri Lanka,11.6,1,0,,Melbourne Cricket Ground
73,1,Australia,Sri Lanka,12.1,0,0,,Melbourne Cricket Ground
74,1,Australia,Sri Lanka,12.2,1,0,,Melbourne Cricket Ground
75,1,Australia,Sri Lanka,12.3,1,0,,Melbourne Cricket Ground
76,1,Australia,Sri Lanka,12.4,0,0,,Melbourne Cricket Ground
77,1,Australia,Sri Lanka,12.5,1,0,,Melbourne Cricket Ground
